isolate_id,Country,Species,Host,Collection_Date,n_accessions,segments_present,n_segments,has_L,has_M,has_S,complete_records,segment_pattern
Central African Republic | ACCESSION_KJ782454,Central African Republic,Phlebovirus riftense,Homo sapiens,1985-12-24,1,L,1,TRUE,FALSE,FALSE,1,L only
Central African Republic | ACCESSION_KJ782455,Central African Republic,Phlebovirus riftense,Aedes palpalae,1969-06-12,1,S,1,FALSE,FALSE,TRUE,0,S only
Central African Republic | ACCESSION_KJ782456,Central African Republic,Phlebovirus riftense,Aedes palpalae,1969-06-12,1,M,1,FALSE,TRUE,FALSE,0,M only
Central African Republic | ACCESSION_KJ782457,Central African Republic,Phlebovirus riftense,Aedes palpalae,1969-06-12,1,L,1,TRUE,FALSE,FALSE,0,L only
Central African Republic | ArB1976,Central African Republic,Phlebovirus riftense,Mansonia africana,1969,1,M,1,FALSE,TRUE,FALSE,0,M only
Central African Republic | CAR R1662,Central African Republic,Phlebovirus riftense,Homo sapiens,1985,1,M,1,FALSE,TRUE,FALSE,0,M only
Central African Republic | CAR R1752,Central African Republic,Phlebovirus riftense,Homo sapiens,1986,1,M,1,FALSE,TRUE,FALSE,0,M only
Central African Republic | RSA/OBP/RVFVClone13/LAV,Central African Republic,Phlebovirus riftense,unknown_host,1974,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Central African Republic | ZINGA J83 R1,Central African Republic,Phlebovirus riftense,Homo sapiens,1969-01-01,3,"L,M,S",3,TRUE,TRUE,TRUE,0,L+M+S
Chad | ACCESSION_PX580508,Chad,Phlebovirus riftense,Homo sapiens,2001,1,S,1,FALSE,FALSE,TRUE,1,S only
Chad | CHA01,Chad,Phlebovirus riftense,Homo sapiens,2001,2,"L,M",2,TRUE,TRUE,FALSE,0,L+M
Egypt | 93-Abeer,Egypt,Phlebovirus riftense,Homo sapiens,1993,1,M,1,FALSE,TRUE,FALSE,0,M only
Egypt | 94EG Tambul,Egypt,Phlebovirus riftense,Ovis aries,1994,1,M,1,FALSE,TRUE,FALSE,0,M only
Egypt | 95EG Cow-2509,Egypt,Phlebovirus riftense,Bos taurus,1995,1,M,1,FALSE,TRUE,FALSE,0,M only
Egypt | ACCESSION_DQ375403,Egypt,Phlebovirus riftense,unknown_host,1977,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375404,Egypt,Phlebovirus riftense,unknown_host,1977,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375405,Egypt,Phlebovirus riftense,unknown_host,1977,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375406,Egypt,Phlebovirus riftense,unknown_host,1977,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375407,Egypt,Phlebovirus riftense,Culex pipiens,1977,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375408,Egypt,Phlebovirus riftense,unknown_host,1977,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375409,Egypt,Phlebovirus riftense,Culicidae,1978,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375410,Egypt,Phlebovirus riftense,Ovis aries,1979,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375411,Egypt,Phlebovirus riftense,unknown_host,1978,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ375412,Egypt,Phlebovirus riftense,Bos taurus,1978,1,L,1,TRUE,FALSE,FALSE,1,L only
Egypt | ACCESSION_DQ380145,Egypt,Phlebovirus riftense,Ovis aries,1979,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380146,Egypt,Phlebovirus riftense,Culicidae,1978,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380147,Egypt,Phlebovirus riftense,Ochlerotatus taeniorhynchus,unknown_date,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380148,Egypt,Phlebovirus riftense,unknown_host,unknown_date,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380149,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380150,Egypt,Phlebovirus riftense,Culex pipiens,unknown_date,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380151,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380152,Egypt,Phlebovirus riftense,Bos taurus,1978,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380153,Egypt,Phlebovirus riftense,Homo sapiens,1978,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380154,Egypt,Phlebovirus riftense,unknown_host,1977,1,S,1,FALSE,FALSE,TRUE,1,S only
Egypt | ACCESSION_DQ380199,Egypt,Phlebovirus riftense,Ochlerotatus taeniorhynchus,1977,1,M,1,FALSE,TRUE,FALSE,1,M only
Egypt | ACCESSION_DQ380200,Egypt,Phlebovirus riftense,Homo sapiens,1977,1,M,1,FALSE,TRUE,FALSE,1,M only
