isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Kenya | ACCESSION_EU574022,Kenya,ACCESSION_EU574022,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574023,Kenya,ACCESSION_EU574023,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574024,Kenya,ACCESSION_EU574024,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574025,Kenya,ACCESSION_EU574025,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574026,Kenya,ACCESSION_EU574026,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574027,Kenya,ACCESSION_EU574027,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574028,Kenya,ACCESSION_EU574028,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574029,Kenya,ACCESSION_EU574029,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574030,Kenya,ACCESSION_EU574030,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574031,Kenya,ACCESSION_EU574031,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574032,Kenya,ACCESSION_EU574032,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574033,Kenya,ACCESSION_EU574033,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574034,Kenya,ACCESSION_EU574034,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574035,Kenya,ACCESSION_EU574035,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574036,Kenya,ACCESSION_EU574036,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574037,Kenya,ACCESSION_EU574037,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574038,Kenya,ACCESSION_EU574038,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574039,Kenya,ACCESSION_EU574039,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574040,Kenya,ACCESSION_EU574040,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574041,Kenya,ACCESSION_EU574041,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574042,Kenya,ACCESSION_EU574042,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574043,Kenya,ACCESSION_EU574043,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574044,Kenya,ACCESSION_EU574044,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574045,Kenya,ACCESSION_EU574045,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574046,Kenya,ACCESSION_EU574046,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574047,Kenya,ACCESSION_EU574047,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574048,Kenya,ACCESSION_EU574048,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574049,Kenya,ACCESSION_EU574049,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574050,Kenya,ACCESSION_EU574050,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574051,Kenya,ACCESSION_EU574051,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574052,Kenya,ACCESSION_EU574052,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574053,Kenya,ACCESSION_EU574053,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574054,Kenya,ACCESSION_EU574054,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574055,Kenya,ACCESSION_EU574055,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574056,Kenya,ACCESSION_EU574056,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU574057,Kenya,ACCESSION_EU574057,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574058,Kenya,ACCESSION_EU574058,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574059,Kenya,ACCESSION_EU574059,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574060,Kenya,ACCESSION_EU574060,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574061,Kenya,ACCESSION_EU574061,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574062,Kenya,ACCESSION_EU574062,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574063,Kenya,ACCESSION_EU574063,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574064,Kenya,ACCESSION_EU574064,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574065,Kenya,ACCESSION_EU574065,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574066,Kenya,ACCESSION_EU574066,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574067,Kenya,ACCESSION_EU574067,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574068,Kenya,ACCESSION_EU574068,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574069,Kenya,ACCESSION_EU574069,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574070,Kenya,ACCESSION_EU574070,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574071,Kenya,ACCESSION_EU574071,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574072,Kenya,ACCESSION_EU574072,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574073,Kenya,ACCESSION_EU574073,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574074,Kenya,ACCESSION_EU574074,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574075,Kenya,ACCESSION_EU574075,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574076,Kenya,ACCESSION_EU574076,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574077,Kenya,ACCESSION_EU574077,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574078,Kenya,ACCESSION_EU574078,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574079,Kenya,ACCESSION_EU574079,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574080,Kenya,ACCESSION_EU574080,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574081,Kenya,ACCESSION_EU574081,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574082,Kenya,ACCESSION_EU574082,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574083,Kenya,ACCESSION_EU574083,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574084,Kenya,ACCESSION_EU574084,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574085,Kenya,ACCESSION_EU574085,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574086,Kenya,ACCESSION_EU574086,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU574087,Kenya,ACCESSION_EU574087,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_HM586953,Kenya,ACCESSION_HM586953,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586954,Kenya,ACCESSION_HM586954,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586955,Kenya,ACCESSION_HM586955,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586956,Kenya,ACCESSION_HM586956,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586957,Kenya,ACCESSION_HM586957,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586958,Kenya,ACCESSION_HM586958,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586961,Kenya,ACCESSION_HM586961,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586962,Kenya,ACCESSION_HM586962,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586963,Kenya,ACCESSION_HM586963,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_HM586964,Kenya,ACCESSION_HM586964,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586965,Kenya,ACCESSION_HM586965,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586966,Kenya,ACCESSION_HM586966,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586967,Kenya,ACCESSION_HM586967,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586968,Kenya,ACCESSION_HM586968,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586969,Kenya,ACCESSION_HM586969,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586972,Kenya,ACCESSION_HM586972,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586973,Kenya,ACCESSION_HM586973,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586974,Kenya,ACCESSION_HM586974,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_HM586975,Kenya,ACCESSION_HM586975,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_HM586976,Kenya,ACCESSION_HM586976,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_HM586977,Kenya,ACCESSION_HM586977,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_HM586978,Kenya,ACCESSION_HM586978,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_HM586979,Kenya,ACCESSION_HM586979,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_HM586980,Kenya,ACCESSION_HM586980,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_HM586983,Kenya,ACCESSION_HM586983,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_HM586984,Kenya,ACCESSION_HM586984,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_JF309200,Kenya,ACCESSION_JF309200,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_JF326186,Kenya,ACCESSION_JF326186,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_JF326187,Kenya,ACCESSION_JF326187,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_JF326188,Kenya,ACCESSION_JF326188,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_JF326191,Kenya,ACCESSION_JF326191,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_JF326192,Kenya,ACCESSION_JF326192,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_JF326193,Kenya,ACCESSION_JF326193,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_JF326196,Kenya,ACCESSION_JF326196,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_JF326197,Kenya,ACCESSION_JF326197,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_JF326198,Kenya,ACCESSION_JF326198,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_JF326199,Kenya,ACCESSION_JF326199,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_JF326200,Kenya,ACCESSION_JF326200,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_JF326201,Kenya,ACCESSION_JF326201,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_JF326202,Kenya,ACCESSION_JF326202,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Kenya | ACCESSION_KX096938,Kenya,ACCESSION_KX096938,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_KX096939,Kenya,ACCESSION_KX096939,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_KX096940,Kenya,ACCESSION_KX096940,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | AFI-MGT-989,Kenya,AFI-MGT-989,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Kenya | AM-M1,Kenya,AM-M1,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | B1143,Kenya,B1143,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | B309,Kenya,B309,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | B314,Kenya,B314,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Kenya | B674,Kenya,B674,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | CML3,Kenya,CML3,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | DVS-230,Kenya,DVS-230,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Kenya | DVS-321,Kenya,DVS-321,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Kenya | DVS-333,Kenya,DVS-333,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Kenya | DVS-356,Kenya,DVS-356,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Kenya | DVS-372,Kenya,DVS-372,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Kenya | E358,Kenya,E358,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | HA-HAR,Kenya,HA-HAR,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | J10,Kenya,J10,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | J8,Kenya,J8,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | J9,Kenya,J9,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | JU-KB,Kenya,JU-KB,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | K2,Kenya,K2,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | KEM-BR,Kenya,KEM-BR,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | KEM-JC,Kenya,KEM-JC,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | KEM-ND,Kenya,KEM-ND,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | KEN56/B2653/IB8,Kenya,KEN56/B2653/IB8,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | KEN57 Rintoul,Kenya,KEN57 Rintoul,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | Ken 199800523,Kenya,Ken 199800523,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | Kenya 56 (IB8),Kenya,Kenya 56 (IB8),2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Kenya | Kitale1840,Kenya,Kitale1840,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | MO-LE,Kenya,MO-LE,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | MSA,Kenya,MSA,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | N12,Kenya,N12,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | NA-KOL,Kenya,NA-KOL,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Kenya | S35,Kenya,S35,3,L+M+S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,L+M+S
Kenya | SPU2/98/1,Kenya,SPU2/98/1,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | SPU2/98/9,Kenya,SPU2/98/9,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | SPU22/07/118,Kenya,SPU22/07/118,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | SPU22/07/125,Kenya,SPU22/07/125,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | SPU22/07/129,Kenya,SPU22/07/129,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | SPU22/07/4,Kenya,SPU22/07/4,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | SPU384/97/1,Kenya,SPU384/97/1,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | SWA-ISI,Kenya,SWA-ISI,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Madagascar | ACCESSION_DQ375414,Madagascar,ACCESSION_DQ375414,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Madagascar | ACCESSION_DQ380144,Madagascar,ACCESSION_DQ380144,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Madagascar | ACCESSION_DQ380210,Madagascar,ACCESSION_DQ380210,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Madagascar | ACCESSION_EU312106,Madagascar,ACCESSION_EU312106,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Madagascar | ACCESSION_EU312107,Madagascar,ACCESSION_EU312107,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Madagascar | ACCESSION_EU312108,Madagascar,ACCESSION_EU312108,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Madagascar | ACCESSION_EU312112,Madagascar,ACCESSION_EU312112,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443126,Madagascar,ACCESSION_GQ443126,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443127,Madagascar,ACCESSION_GQ443127,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443128,Madagascar,ACCESSION_GQ443128,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443129,Madagascar,ACCESSION_GQ443129,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443130,Madagascar,ACCESSION_GQ443130,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443131,Madagascar,ACCESSION_GQ443131,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443132,Madagascar,ACCESSION_GQ443132,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443133,Madagascar,ACCESSION_GQ443133,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443134,Madagascar,ACCESSION_GQ443134,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443135,Madagascar,ACCESSION_GQ443135,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443136,Madagascar,ACCESSION_GQ443136,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443137,Madagascar,ACCESSION_GQ443137,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443138,Madagascar,ACCESSION_GQ443138,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443139,Madagascar,ACCESSION_GQ443139,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443140,Madagascar,ACCESSION_GQ443140,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443141,Madagascar,ACCESSION_GQ443141,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Madagascar | ACCESSION_GQ443142,Madagascar,ACCESSION_GQ443142,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
