isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Central African Republic | ACCESSION_DQ380219,Central African Republic,ACCESSION_DQ380219,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Central African Republic | ACCESSION_DQ380221,Central African Republic,ACCESSION_DQ380221,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Central African Republic | ACCESSION_EU312122,Central African Republic,ACCESSION_EU312122,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_KJ782452,Central African Republic,ACCESSION_KJ782452,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Central African Republic | ACCESSION_KJ782453,Central African Republic,ACCESSION_KJ782453,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Central African Republic | ACCESSION_KJ782454,Central African Republic,ACCESSION_KJ782454,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ACCESSION_KJ782455,Central African Republic,ACCESSION_KJ782455,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S only
Central African Republic | ACCESSION_KJ782456,Central African Republic,ACCESSION_KJ782456,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Central African Republic | ACCESSION_KJ782457,Central African Republic,ACCESSION_KJ782457,1,L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L only
Central African Republic | ArB1976,Central African Republic,ArB1976,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Central African Republic | CAR R1662,Central African Republic,CAR R1662,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Central African Republic | CAR R1752,Central African Republic,CAR R1752,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Central African Republic | RSA/OBP/RVFVClone13/LAV,Central African Republic,RSA/OBP/RVFVClone13/LAV,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Central African Republic | ZINGA J83 R1,Central African Republic,ZINGA J83 R1,3,L+M+S,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,L+M+S
Chad | ACCESSION_PX580508,Chad,ACCESSION_PX580508,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Chad | CHA01,Chad,CHA01,2,L+M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,L+M
Egypt | 93-Abeer,Egypt,93-Abeer,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Egypt | 94EG Tambul,Egypt,94EG Tambul,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Egypt | 95EG Cow-2509,Egypt,95EG Cow-2509,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Egypt | ACCESSION_DQ375403,Egypt,ACCESSION_DQ375403,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
